7,News Reporting and Writing,"In this changing media landscape, a journalist has no choice but to become a jack of all trades and to develop the ability to...","$2,980"
8,Introduction to Immunology with Laboratory Techniques,"Immunology is the study of the immune system, the body's built-in defense system","$3,500"
9,Introduction to Film through the Theme of Labor,This course utilizes the beginning of cinema in 1895 when the Lumière brothers filmed the departure of workers from their...,"$3,500"
10,"Money, Financial Institutions, and Markets","This course presents a moderately advanced overview of concepts and techniques in the fields of money, banking, and finance","$3,500"
11,Fundamentals of Music,"An intensive introduction to basic music theory and musicianship, covering notation, keys, rhythm, meter, intervals, counterpoint...","$3,500"
12,Intellectual Property,"Does anyone own ideas, or only the literary, artistic, musical, or inventive works that express ideas? This course examines the...","$3,500"
13,"Tradition and Modernity in Ukraine, 19th and 20th Centuries",The main focus of this course is on the cities and complex relations between tradition and modernity in Ukraine in a wider...,"$3,500"
14,Politics of Religion in Liberal Democracies,"The secularization thesis argues that as societies modernize, religion becomes a less important facet of life","$3,500"
0,Sustainable Fashion,The global fashion and apparel industry has changed dramatically in the last 20 years to become an industry that today produces...,"$3,500"
1,Fundamentals of Music,"An intensive introduction to basic music theory and musicianship, covering notation, keys, rhythm, meter, intervals, counterpoint...","$3,500"
2,Deadly Diseases: Epidemics throughout History,"Outbreaks of epidemic disease have played a role in shaping human societies from the beginning of recorded history, transforming...","$3,500"
3,"Latinx Movement: Latin Music, Dance, and Communal Practice","Vamos a bailar! A warm invitation to connect with our body, deepen our artistry, and move together","$3,500"
4,Politics of Religion in Liberal Democracies,"The secularization thesis argues that as societies modernize, religion becomes a less important facet of life","$3,500"
5,Beginning French I,This beginning French course provides an introduction to French with emphasis on interpersonal communication and the...,"$3,500"
6,"The Psychology of Emotional, Behavioral, and Motivational Self-Regulation","This course covers cutting-edge research on how people acquire self-regulatory skills to bolster their willpower, enabling them...","$3,500"
7,Advanced Fiction: Writing the Novella,Before the novel was the novella,"$2,980"
8,Labor Economics,"This course introduces students to the field of labor economics, with an emphasis on current policy issues and new research","$3,500"
9,Principles of Genetics,This course focuses on transmission and molecular genetics,"$3,500"
10,"Hedge Funds: History, Strategies, and Practice","While beating the markets was long thought to be impossible, hedge funds have seemingly challenged many financial theories,...","$3,500"
11,Elements of Data Science and Statistical Learning with R,"One of the broad goals of data science is examining raw data with the purpose of identifying their structure and trends, and...","$3,500"
12,Security: Carefree or Careless,Security—broadly defined as a removal of care—leaves its subjects either carefree or careless,"$3,500"
13,"Darwin, Evolution, and Society in the Nineteenth and Twentieth Centuries",This course traces the development of evolutionary theory—with a particular emphasis on Darwinism—as a major transformation in...,"$3,500"
14,Law and Psychology,This course compares legal and psychological approaches to human behavior and considers their interaction,"$3,500"
0,Advanced Fiction: Writing Fairy Tales,"Fairy tales have inspired authors for centuries, and we are still very much under their spell","$2,980"
